COD_PAI4,COD_SAL,CANTI,FOBDOL,FOBPES
USA,AXM,95,12,104644,7,422470536
PAN,AXM,12,22,12125,43,48952665
DEU,BOG,480,3000,12111570
DEU,BOG,90,634,5,2561597
DEU,BOG,60,228,920479
DEU,BOG,270,940,5,3796977
DEU,BOG,1204,2,6902,9,27612298
DEU,BOG,64,296,1195008
DEU,BOG,32,9256,36845082
DEU,BOG,9,5175,20599967
DEU,BOG,9,3267,13004849
DEU,BOG,16,4560,18151855
DEU,BOG,1380,1093,5,4347840
DEU,BOG,28995,15999,1,65473597
DEU,BOG,50,4930,20294789
DEU,BOG,245,54726,225284504
DEU,BOG,20,6256,25753387
DEU,BOG,20,3604,14836190
DEU,BOG,20,4216,17355543
DEU,BOG,20,3332,13716478
DEU,BOG,20,3332,13716478
DEU,BOG,100,7780,32027070
DEU,BOG,1088,1,157774,5,636965634
DEU,BOG,1,2526,46,10080297
DEU,BOG,27,60,247063
DEU,BOG,9,20,82354
DEU,BOG,1300,200,811388
DEU,BOG,38160,6102,4,24935734
DEU,BOG,62,99871,9,405667866
DEU,BOG,5600,1008,4098316
DEU,BOG,12480,2246,4,9133391
DEU,BOG,13,1484,47,5883801
DEU,BOG,2560,460,8,1870917
DEU,BOG,50,18500,74688015
DEU,BOG,44787,13917,65,56397252
DEU,BOG,1800,297,1181121
DEU,BOG,10080,1808,7210408
DEU,BOG,16,5,50,4,199764
DEU,BOG,37,5,104,412211
DEU,BOG,20,50,198179
DEU,BOG,82,320,1268342
DEU,BOG,24,88,348794
DEU,BOG,119,5,583,2310761
DEU,BOG,1198,4,5380,1,21324403
DEU,BOG,13,70,277450
DEU,BOG,7,5,28,5,112962
DEU,BOG,2,287,45,1183314
DEU,BOG,1,568,33,2339582
DEU,BOG,1,194,19,799401
DEU,BOG,986,88154,93,362897703
DEU,BOG,9,325,55,1340156
DEU,BOG,1,41,02,168863
DEU,BOG,2,6331,36,26063613
DEU,BOG,6,6873,84,28296781
DEU,BOG,1,372,12,1531010
DEU,BOG,5,8753,08,36012709
DEU,BOG,19660,6549,2,26330876
DEU,BOG,3,2238,31,9052867
DEU,BOG,2,746,98,2960708
DEU,BOG,4,450,1787799
DEU,BOG,1,1457,5997872
DEU,BOG,1,374,19,1540387
DEU,BOG,38,7456,53,30514581
DEU,BOG,1,50,200253
DEU,BOG,1,50,200253
DEU,BOG,21600,2942,9,11881046
DEU,BOG,58200,8775,65,35547304
DEU,BOG,560,4921,56,20140648
DEU,BOG,809,64,3487,36,13914183
DEU,BOG,3,10315,5,41005041
DEU,BOG,4,13933,56388384
DEU,BOG,5,18860,35,76329911
DEU,BOG,6000,1140,4648282
DEU,BOG,14400,2736,11155876
DEU,BOG,0,17,26,79,106493
DEU,BOG,1,82,83,329257
DEU,BOG,1,514,37,2044667
DEU,BOG,4,98,21,43,85186
DEU,BOG,16,95,43,379343
DEU,BOG,7,72,38,58,153359
DEU,BOG,3,12,22,71,90274
DEU,BOG,0,8,8,04,31960
DEU,BOG,1,6,1,72,6837
DEU,BOG,2,51,11,203167
DEU,BOG,2,72,87,289665
DEU,BOG,2,354,64,1409726
DEU,BOG,1,122,16,485597
DEU,BOG,1,73,51,292209
DEU,BOG,1,334,34,1329032
DEU,BOG,20,642,96,2555824
DEU,BOG,1,25,72,102239
DEU,BOG,29,5556,15,22086196
DEU,BOG,0,14,2,16,8586
DEU,BOG,2,9498,21,39078390
DEU,BOG,1,1823,61,7502860
DEU,BOG,5,14004,64,57619150
DEU,BOG,145,725,2941282
DEU,BOG,2,21967,8,87323982
DEU,BOG,101,6314,88,25102216
DEU,BOG,16,26254,8,106187801
DEU,BOG,24320,4716,8,19232469
DEU,BOG,3231,4972,05,19773047
DEU,BOG,58360,10576,8,43436054
DEU,BOG,1,5470,88,21652485
DEU,BOG,10530,1895,4,7693329
DEU,BOG,79320,14442,64,57579527
DEU,BOG,2050,369,1467454
DEU,BOG,11100,2780,6,11058001
DEU,BOG,2250,1202,4918981
DEU,BOG,1,924,12,3657454
DEU,BOG,510,770,1,3062564
DEU,BOG,978,12,5513,8,22482189
DEU,BOG,300,1918,3,7899003
