FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2312;3;23;DEU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;1;41;35;50;195771,5
2312;3;23;DEU;3;BOG;11;3;573;1;198;1;6;1;11;11;U;12420;490;425;2235,6;8845732,65
2312;3;23;DEU;3;BOG;11;3;573;1;198;1;8;2;11;33;KG;525;621;525;5565;22162612,5
2312;3;23;DEU;3;BOG;11;3;573;1;2;2;8;2;11;33;KG;171,64;180,06;171,64;1486,47;5980380,96
2312;3;23;DEU;3;BOG;11;5;245;1;198;1;6;1;11;11;U;5600;229,13;213;1064;4119222,8
2312;3;23;DEU;3;BOG;11;5;245;1;198;1;6;1;11;11;U;8400;338,86;315;1592;6163348,4
2312;3;23;DEU;3;BOG;11;5;245;1;198;1;8;1;11;11;U;5680;193,25;180;965,6;3860961,25
2312;3;23;DEU;3;BOG;11;5;245;1;198;1;8;1;11;11;U;17160;579,74;540;3256;13019148,55
2312;3;23;DEU;3;BOG;11;7;827;1;198;1;6;1;11;11;U;75940;2984;2567;13993;54935835,8
2312;3;23;DEU;3;BOG;11;7;827;1;198;1;6;2;11;11;U;13410;426,76;386;2426,4;9574007,1
2312;3;23;DEU;3;BOG;11;7;827;1;198;1;6;2;11;11;U;99968;3636,22;3032;18203,52;73079992,33
2312;3;23;DEU;3;BOG;11;7;827;1;198;1;8;1;11;11;U;17163;436,98;424;18415,02;72847609,31
2312;3;23;DEU;3;BOG;11;8;618;1;198;1;6;1;11;11;U;19280;677,91;623;2668,36;10536126,19
2312;3;23;DEU;3;BOG;11;8;618;1;198;1;6;1;11;11;U;51040;2048,08;1854;7527,72;29616255,92
2312;3;23;DEU;3;BOG;11;8;618;1;198;1;8;1;11;11;U;3660;124,47;114;658,8;2634218,38
2312;3;23;DEU;3;BOG;11;8;618;1;198;1;8;1;11;11;U;20020;695,52;637;5137;20540345,86
2312;3;23;DEU;3;BOG;11;8;618;1;198;1;8;2;11;11;U;1800;162;148;917;3628348,92
2312;3;23;DEU;3;BOG;11;9;249;1;198;1;8;2;15;53;C/T;84,13;0,01;0,01;135475;548026179,5
2312;3;23;DEU;3;BOG;11;9;249;1;199;1;8;2;11;11;U;7100;379;303,2;2766,54;10860799,73
2312;3;23;DEU;3;BOG;15;3;23;1;198;1;8;2;15;33;KG;1;2;1;971,81;3870865
2312;3;23;DEU;3;BOG;15;3;573;1;198;1;8;2;15;33;KG;2160;2492;2160;9489,6;36269725,68
2312;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;6;7,04;6;22,5;88718,17
2312;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;3;3,63;3;2;7765,08
2312;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;36;37,08;36;149;587511,47
2312;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;9400;10258,21;9400;42158,56;163199624
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;1;25;11;U;3200;108;104;800;3192704
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;21;43,89;21;111,65;449191,39
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;108;177,05;108;470,2;1887292,04
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;37,5;47,96;37,5;109,5;437836,84
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;50;104,5;50;437,5;1760154,37
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;35;73,15;35;180,6;726591,72
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;32,36;67,63;32,36;207,07;833086,09
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;50;63,94;50;172;687743,72
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;387,5;647,68;387,5;2683;10766904,83
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;385,2;503,34;385,2;2231,2;8923975,15
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;37,5;47,96;37,5;118,5;473823,43
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;28,8;36,83;28,8;243;971637,93
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;37,4;41,14;37,4;164854,57;648305433,4
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;98;129,03;98;11631,8;46526153,13
2312;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;82;107,96;82;4363,38;17453127,29
2312;3;23;DEU;3;BOG;25;3;23;1;104;2;8;2;11;11;U;1;31;24,6;8486,5;33373925,03
2312;3;23;DEU;3;BOG;25;3;23;1;104;2;8;2;11;11;U;465;97;92,15;25100,7;98710761,81
2312;3;23;DEU;3;BOG;25;3;23;1;198;2;8;2;25;33;KG;2;2;2;5;19224,05
2312;3;23;DEU;3;BOG;25;3;23;4;201;2;8;2;11;11;U;2;14;12,8;1970,6;7881720,6
2312;3;23;DEU;3;BOG;25;3;23;4;201;2;8;2;25;11;U;12;235;234,5;11262,69;45043489,53
2312;3;23;DEU;3;BOG;25;3;573;1;198;1;8;1;25;11;U;8460;313,4;282;1353,6;5354679,16
2312;3;23;DEU;3;BOG;25;3;573;1;198;1;8;1;25;11;U;87120;3030,59;2797;16498,8;65516122,94
2312;3;23;DEU;3;BOG;25;3;573;1;104;2;8;2;11;11;U;2;4862;3983;91000;353010550
2312;3;23;DEU;3;BOG;25;5;245;1;198;1;5;1;25;11;U;4080;135,37;60;554,88;2195526,98
